request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,74560.0,affordable_later,wait,2025-02-15:95800.00,2025-02-15,none,"Wait to pay INR 95,800.00 in full on 2025-02-15. Paying earlier would breach your required balance."
request_45,8833100.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,983,000.00 request. Your balance cannot safely support this expense within 90 days."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.00|2024-12-31:25714.00,2024-12-03,none,"Use 2 installments of INR 25,714.00 starting 2024-12-03. This fits your cash flow safely."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"Pay IDR 38,114,000.00 in full on 2025-05-05. Your minimum balance of IDR 30,049,000 remains protected."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"Pay INR 45,700.00 in full on 2026-07-25. Your minimum balance of INR 71,300 remains protected."
request_49,20228793.34,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34,333,000.00 request. Your balance cannot safely support this expense within 90 days."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,"Pay INR 43,900.00 in full on 2025-08-06. Your minimum balance of INR 99,700 remains protected."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Pay IDR 2,191,000.00 in full on 2026-01-03. Your minimum balance of IDR 7,811,000 remains protected."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.00,2024-06-05,none,"Pay INR 28,870.00 in full on 2024-06-05. Your minimum balance of INR 41,500 remains protected."
request_53,1423.42,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,699.20 request. Your balance cannot safely support this expense within 90 days."
request_54,16581.4,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528.00 request. Your balance cannot safely support this expense within 90 days."
request_55,176241.19,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218,600.00 request. Your balance cannot safely support this expense within 90 days."
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Use 2 installments of USD 458.42 starting 2025-02-03. This fits your cash flow safely.
request_57,21214.6,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61,446.00 request. Your balance cannot safely support this expense within 90 days."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,"Pay IDR 16,226,000.00 in full on 2024-12-07. Your minimum balance of IDR 14,433,900 remains protected."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33 starting 2025-05-07. This fits your cash flow safely."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 in full on 2026-01-06. Your minimum balance of USD 400 remains protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83 starting 2024-03-17. This fits your cash flow safely."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 in full on 2025-08-05. Your minimum balance of USD 1,300 remains protected."
request_63,98295.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900.00 request. Your balance cannot safely support this expense within 90 days."
request_64,60233.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 63,700.00 request. Your balance cannot safely support this expense within 90 days."
request_65,13024.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340.00 request. Your balance cannot safely support this expense within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"Pay INR 22,200.00 in full on 2026-04-03. Your minimum balance of INR 80,700 remains protected."
request_67,792.54,affordable_later,wait,2024-09-15:2094.00,2024-09-15,none,"Wait to pay USD 2,094.00 in full on 2024-09-15. Paying earlier would breach your required balance."
request_68,2091.6,not_affordable,not_recommended,none,2025-02-07,none,"Do not proceed with the USD 2,091.60 request. Your balance cannot safely support this expense within 90 days."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 in full on 2026-01-04. Your minimum balance of EUR 700 remains protected.
request_70,93360.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 243,900.00 request. Your balance cannot safely support this expense within 90 days."
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000.00 request. Your balance cannot safely support this expense within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,"Pay ZAR 11,330.00 in full on 2026-07-05. Your minimum balance of ZAR 12,200 remains protected."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,"Pay INR 71,400.00 in full on 2023-01-20. Your minimum balance of INR 103,200 remains protected."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"Pay ZAR 5,010.00 in full on 2025-08-04. Your minimum balance of ZAR 21,900 remains protected."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27 starting 2026-04-09. This fits your cash flow safely."
request_76,1538.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Your balance cannot safely support this expense within 90 days."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,"Pay INR 60,700.00 in full on 2025-11-05. Your minimum balance of INR 82,200 remains protected."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.00,2025-10-02,none,"Pay INR 50,200.00 in full on 2025-10-02. Your minimum balance of INR 55,200 remains protected."
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,"Pay EUR 1,104.08 on 2024-09-04 and EUR 1,047.52 on 2024-09-15. Your minimum balance stays safe."
request_80,158825.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500.00 request. Your balance cannot safely support this expense within 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,"Pay USD 2,076.00 in full on 2026-07-03. Your minimum balance of USD 1,600 remains protected."
request_82,1102.4,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,405.20 request. Your balance cannot safely support this expense within 90 days."
request_83,31130.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200.00 request. Your balance cannot safely support this expense within 90 days."
request_84,56565.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,400.00 request. Your balance cannot safely support this expense within 90 days."
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request. Your balance cannot safely support this expense within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"Pay INR 46,300.00 in full on 2025-08-03. Your minimum balance of INR 84,900 remains protected."
request_87,92850.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900.00 request. Your balance cannot safely support this expense within 90 days."
request_88,15557.89,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,092.00 request. Your balance cannot safely support this expense within 90 days."
request_89,13756000.0,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"Use 3 installments of IDR 4,768,746.67 starting 2025-11-18. This fits your cash flow safely."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"Pay ZAR 2,560.00 in full on 2026-07-06. Your minimum balance of ZAR 7,600 remains protected."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.20,2024-09-03,none,"Pay EUR 1,927.20 in full on 2024-09-03. Your minimum balance of EUR 2,100 remains protected."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Pay ZAR 34,034.00 in full on 2025-02-05. Your minimum balance of ZAR 28,100 remains protected."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 in full on 2026-04-07. Your minimum balance of USD 1,900 remains protected."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay EUR 572.00 in full on 2024-12-04. Your minimum balance of EUR 600 remains protected.
request_95,137865.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000.00 request. Your balance cannot safely support this expense within 90 days."
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"Use 3 installments of INR 31,269.33 starting 2026-01-10. This fits your cash flow safely."
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28 starting 2024-03-19. This fits your cash flow safely."
request_98,17244.7,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 27,148.00 request. Your balance cannot safely support this expense within 90 days."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,"Pay ZAR 18,062.00 in full on 2026-07-04. Your minimum balance of ZAR 49,100 remains protected."
request_100,35863.53,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19 starting 2024-06-13. This fits your cash flow safely."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Pay INR 143,500.00 in full on 2025-11-03. Your minimum balance of INR 187,400 remains protected."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use 3 installments of EUR 594.88 starting 2026-04-05. This fits your cash flow safely.
request_103,43249.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300.00 request. Your balance cannot safely support this expense within 90 days."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Pay ZAR 17,204.00 in full on 2025-02-04. Your minimum balance of ZAR 24,700 remains protected."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,"Pay INR 53,500.00 in full on 2026-06-08. Your minimum balance of INR 73,900 remains protected."
request_106,1401.7,affordable_later,wait,2024-12-15:2207.70,2024-12-15,none,"Wait to pay EUR 2,207.70 in full on 2024-12-15. Paying earlier would breach your required balance."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Use 3 installments of EUR 878.59 starting 2025-05-08. This fits your cash flow safely.
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308.00 request. Your balance cannot safely support this expense within 90 days."
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use 3 installments of EUR 645.98 starting 2024-03-18. This fits your cash flow safely.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69 starting 2025-08-06. This fits your cash flow safely."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Pay IDR 16,625,000.00 in full on 2026-04-03. Your minimum balance of IDR 23,022,800 remains protected."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 in full on 2024-06-05. Your minimum balance of EUR 500 remains protected.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.00,2026-09-04,none,"Pay INR 36,500.00 in full on 2026-09-04. Your minimum balance of INR 82,300 remains protected."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,none,"Pay INR 65,300.00 in full on 2026-01-04. Your minimum balance of INR 113,400 remains protected."
request_115,27135.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,500.00 request. Your balance cannot safely support this expense within 90 days."
request_116,58075.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200.00 request. Your balance cannot safely support this expense within 90 days."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,"Pay EUR 880.00 in full on 2026-07-05. Your minimum balance of EUR 1,000 remains protected."
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,Use 3 installments of EUR 255.87 starting 2024-12-07. This fits your cash flow safely.
request_119,130901.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 203,500.00 request. Your balance cannot safely support this expense within 90 days."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Pay IDR 7,714,000.00 in full on 2026-04-06. Your minimum balance of IDR 20,050,300 remains protected."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 in full on 2024-03-03. Your minimum balance of USD 800 remains protected.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33 starting 2025-08-05. This fits your cash flow safely."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Pay IDR 4,076,000.00 in full on 2026-01-07. Your minimum balance of IDR 18,091,200 remains protected."
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12 starting 2024-06-11. This fits your cash flow safely."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,"Pay ZAR 6,468.00 in full on 2025-11-06. Your minimum balance of ZAR 11,300 remains protected."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"Pay INR 159,600.00 in full on 2026-07-03. Your minimum balance of INR 129,700 remains protected."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980.00,2024-09-05,none,"Pay ZAR 23,980.00 in full on 2024-09-05. Your minimum balance of ZAR 41,000 remains protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Pay ZAR 25,168.00 in full on 2025-02-07. Your minimum balance of ZAR 42,600 remains protected."
request_129,288.0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Your balance cannot safely support this expense within 90 days."
request_130,917.46,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,978.80 request. Your balance cannot safely support this expense within 90 days."
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,Use 3 installments of USD 643.14 starting 2025-05-06. This fits your cash flow safely.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 in full on 2026-01-05. Your minimum balance of USD 1,100 remains protected."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15,770,000.00 request. Your balance cannot safely support this expense within 90 days."
request_134,12118200.0,affordable_later,wait,2025-08-15:21831000.00,2025-08-15,none,"Wait to pay IDR 21,831,000.00 in full on 2025-08-15. Paying earlier would breach your required balance."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 in full on 2026-07-06. Your minimum balance of USD 500 remains protected.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 in full on 2024-06-03. Your minimum balance of USD 1,100 remains protected."
request_137,67960.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100.00 request. Your balance cannot safely support this expense within 90 days."
request_138,1256.94,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-07,none,Use 3 installments of EUR 435.74 starting 2026-04-07. This fits your cash flow safely.
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use 3 installments of USD 802.88 starting 2024-09-07. This fits your cash flow safely.
request_140,13079.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832.00 request. Your balance cannot safely support this expense within 90 days."
request_141,55245.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600.00 request. Your balance cannot safely support this expense within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 in full on 2024-12-05. Your minimum balance of USD 1,700 remains protected."
request_143,8811.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 12,584.00 request. Your balance cannot safely support this expense within 90 days."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 in full on 2026-07-04. Your minimum balance of USD 600 remains protected.
request_145,105613.66,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,400.00 request. Your balance cannot safely support this expense within 90 days."
request_146,81465.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400.00 request. Your balance cannot safely support this expense within 90 days."
request_147,741.53,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,129.70 request. Your balance cannot safely support this expense within 90 days."
request_148,13181.08,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 22,242.00 request. Your balance cannot safely support this expense within 90 days."
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"Use 3 installments of ZAR 12,706.03 starting 2025-11-18. This fits your cash flow safely."
request_150,496.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,Use 3 installments of EUR 171.98 starting 2026-01-06. This fits your cash flow safely.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,"Pay IDR 26,999,000.00 in full on 2024-09-03. Your minimum balance of IDR 31,633,600 remains protected."
request_152,13882.0,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of ZAR 4,812.43 starting 2025-02-12. This fits your cash flow safely."
request_153,503.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Your balance cannot safely support this expense within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 installments of EUR 563.61 starting 2024-12-04. This fits your cash flow safely.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,"Pay INR 112,500.00 in full on 2025-05-06. Your minimum balance of INR 56,300 remains protected."
request_156,15205.3,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 43,076.00 request. Your balance cannot safely support this expense within 90 days."
request_157,10091850.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,503,000.00 request. Your balance cannot safely support this expense within 90 days."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33 starting 2025-08-07. This fits your cash flow safely."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.00,2026-01-04,none,"Pay ZAR 13,398.00 in full on 2026-01-04. Your minimum balance of ZAR 8,700 remains protected."
request_160,944.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use 3 installments of EUR 432.05 starting 2024-06-13. This fits your cash flow safely.
request_161,18297950.0,affordable_later,wait,2025-11-15:21204000.00,2025-11-15,none,"Wait to pay IDR 21,204,000.00 in full on 2025-11-15. Paying earlier would breach your required balance."
request_162,10446200.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000.00 request. Your balance cannot safely support this expense within 90 days."
request_163,19304000.0,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,"Use 3 installments of IDR 6,692,053.33 starting 2024-09-10. This fits your cash flow safely."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.00|2025-03-11:9366240.00|2025-04-08:9366240.00,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00 starting 2025-02-11. This fits your cash flow safely."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,"Pay INR 80,600.00 in full on 2026-04-06. Your minimum balance of INR 95,000 remains protected."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97 starting 2024-12-03. This fits your cash flow safely."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,"Pay ZAR 43,802.00 in full on 2025-05-05. Your minimum balance of ZAR 31,200 remains protected."
request_168,49380.0,not_affordable,not_recommended,none,2026-01-07,none,"Do not proceed with the INR 49,380.00 request. Your balance cannot safely support this expense within 90 days."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.00,2024-03-04,none,"Pay ZAR 41,976.00 in full on 2024-03-04. Your minimum balance of ZAR 18,700 remains protected."
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:12804480.00|2025-09-03:12804480.00|2025-10-01:12804480.00,2025-08-06,none,"Use 3 installments of IDR 12,804,480.00 starting 2025-08-06. This fits your cash flow safely."
request_171,310.65,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Your balance cannot safely support this expense within 90 days."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-03:5304.00,2024-06-05,none,"Use 2 installments of ZAR 5,304.00 starting 2024-06-05. This fits your cash flow safely."
request_173,83190.53,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113,000.00 request. Your balance cannot safely support this expense within 90 days."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 installments of EUR 397.35 starting 2026-04-04. This fits your cash flow safely.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 in full on 2024-09-06. Your minimum balance of EUR 1,700 remains protected."
request_176,686.95,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Your balance cannot safely support this expense within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 in full on 2026-01-05. Your minimum balance of USD 1,300 remains protected."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54 starting 2024-12-07. This fits your cash flow safely."
request_179,37957250.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 41,648,000.00 request. Your balance cannot safely support this expense within 90 days."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,"Pay INR 66,500.00 in full on 2026-07-06. Your minimum balance of INR 37,300 remains protected."
request_181,1233.0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Your balance cannot safely support this expense within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,"Pay ZAR 65,714.00 in full on 2025-08-05. Your minimum balance of ZAR 31,100 remains protected."
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,"Use 3 installments of IDR 9,313,546.67 starting 2026-04-10. This fits your cash flow safely."
request_184,47540.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900.00 request. Your balance cannot safely support this expense within 90 days."
request_185,783.4,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,257.30 request. Your balance cannot safely support this expense within 90 days."
request_186,22863.5,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26,554.00 request. Your balance cannot safely support this expense within 90 days."
request_187,67435.0,affordable_later,wait,2024-09-15:187500.00,2024-09-15,none,"Wait to pay INR 187,500.00 in full on 2024-09-15. Paying earlier would breach your required balance."
request_188,585.3,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464.00 request. Your balance cannot safely support this expense within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 in full on 2026-07-04. Your minimum balance of EUR 400 remains protected.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Wait to pay EUR 2,557.50 in full on 2024-12-15. Paying earlier would breach your required balance."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 in full on 2025-05-03. Your minimum balance of EUR 500 remains protected.
